Date,Open,High,Low,Close,Adj Close,Volume
10-06-2020,191.1300049,198.5200043,191.0099945,196.8399963,192.4214935,43872300
11-06-2020,193.1300049,195.7599945,186.0700073,186.2700043,182.0887909,52854700
12-06-2020,190.5399933,191.7200012,185.1799927,187.7400055,183.5257721,43373600
15-06-2020,184.5800018,190.8200073,184.0099945,188.9400024,184.6988373,32770200
16-06-2020,192.8899994,195.5800018,191.4600067,193.5700073,189.2248993,42556700
17-06-2020,195.0299988,196.3200073,193.6900024,194.2400055,189.8798828,25687800
18-06-2020,194,196.4900055,194,196.3200073,191.9131775,23061600
19-06-2020,198.5899963,199.2899933,194.3699951,195.1499939,190.7694244,44441100
22-06-2020,195.7899933,200.7599945,195.2299957,200.5700073,196.0677795,32818900
23-06-2020,202.0899963,203.9499969,201.4299927,201.9100037,197.3777161,30917400
24-06-2020,201.6000061,203.25,196.5599976,197.8399963,193.3990326,36740600
25-06-2020,197.8000031,200.6100006,195.4700012,200.3399963,195.8429413,27803900
26-06-2020,199.7299957,199.8899994,194.8800049,196.3300018,191.9229584,54675800
29-06-2020,195.7799988,198.5299988,193.5500031,198.4400024,193.9855804,26701600
30-06-2020,197.8800049,204.3999939,197.7400055,203.5099945,198.9417725,34310300
01-07-2020,203.1399994,206.3500061,201.7700043,204.6999969,200.1050873,32061200
02-07-2020,205.6799927,208.0200043,205,206.2599945,201.6300354,29315800
06-07-2020,208.8300018,211.1300049,208.0899963,210.6999969,205.9703827,31897600
07-07-2020,210.4499969,214.6699982,207.9900055,208.25,203.5753784,33600700
08-07-2020,210.0700073,213.2599945,208.6900024,212.8300018,208.0525818,33600000
09-07-2020,216.3300018,216.3800049,211.4700012,214.3200073,209.50914,33121700
10-07-2020,213.6199951,214.0800018,211.0800018,213.6699982,208.873703,26177600
13-07-2020,214.4799957,215.8000031,206.5,207.0700073,202.4218597,38135600
14-07-2020,206.1300049,208.8500061,202.0299988,208.3500061,203.6731262,37591800
15-07-2020,209.5599976,211.3300018,205.0299988,208.0399933,203.3700562,32179400
16-07-2020,205.3999939,205.6999969,202.3099976,203.9199982,199.3425751,29940700
17-07-2020,204.4700012,205.0399933,201.3899994,202.8800049,198.3259277,31635300
20-07-2020,205,212.3000031,203.0099945,211.6000061,206.8501892,36884800
21-07-2020,213.6600037,213.9400024,208.0299988,208.75,204.0641479,37990400
22-07-2020,209.1999969,212.3000031,208.3899994,211.75,206.9967957,49605700
23-07-2020,207.1900024,210.9199982,202.1499939,202.5399933,197.9935608,67457000
24-07-2020,200.4199982,202.8600006,197.5099945,201.3000031,196.7814026,39827000
27-07-2020,201.4700012,203.9700012,200.8600006,203.8500061,199.2741394,30160900
28-07-2020,203.6100006,204.6999969,201.7400055,202.0200043,197.4852295,23251400
29-07-2020,202.5,204.6499939,202.0099945,204.0599976,199.4794159,19632600
30-07-2020,201,204.4600067,199.5700073,203.8999939,199.3230286,25079600
31-07-2020,204.3999939,205.1000061,199.0099945,205.0099945,200.4080963,51044000
03-08-2020,211.5200043,217.6399994,210.4400024,216.5399933,211.6792908,78983000
04-08-2020,214.1699982,214.7700043,210.3099976,213.2899933,208.5021973,49280100
05-08-2020,214.8999939,215,211.5700073,212.9400024,208.1601105,28806400
06-08-2020,212.3399963,216.3699951,211.5500031,216.3500061,211.4935455,32656800
07-08-2020,214.8500061,215.6999969,210.9299927,212.4799957,207.7104187,27820400
10-08-2020,211.6699982,211.8800049,206.3500061,208.25,203.5753784,36716500
11-08-2020,207.1600037,207.6499939,203.1399994,203.3800049,198.8147125,36446500
12-08-2020,205.2899933,210.2799988,204.75,209.1900024,204.494278,28013100
13-08-2020,209.4400024,211.3500061,208.1499939,208.6999969,204.015274,22588900
14-08-2020,208.7599945,209.5899963,207.5099945,208.8999939,204.2108002,17958900
17-08-2020,209.6000061,211.1900024,208.9199982,210.2799988,205.5598297,20184800
18-08-2020,210.5299988,212.3600006,209.2100067,211.4900055,206.7426605,21336200
19-08-2020,211.4900055,212.1000061,209.25,209.6999969,205.4883575,27627600
20-08-2020,209.5399933,215,208.9100037,214.5800018,210.2703552,26981500
21-08-2020,213.8600006,216.25,212.8500061,213.0200043,208.7416687,36249300
24-08-2020,214.7899933,215.5200043,212.4299927,213.6900024,209.3982391,25460100
25-08-2020,213.1000061,216.6100006,213.1000061,216.4700012,212.1223907,23043700
26-08-2020,217.8800049,222.0899963,217.3600006,221.1499939,216.7084045,39600800
27-08-2020,222.8899994,231.1499939,219.3999939,226.5800018,222.0293274,57602200
28-08-2020,228.1799927,230.6399994,226.5800018,228.9100037,224.3125458,26292900
31-08-2020,227,228.6999969,224.3099976,225.5299988,221.000412,28774200
01-09-2020,225.5099945,227.4499969,224.4299927,227.2700043,222.7055054,25725500
02-09-2020,227.9700012,232.8600006,227.3500061,231.6499939,226.9975128,34080800
03-09-2020,229.2700043,229.3099976,214.9600067,217.3000031,212.93573,58400300
04-09-2020,215.1000061,218.3600006,205.1900024,214.25,209.9469757,59664100
08-09-2020,206.5,210.0299988,202.1999969,202.6600037,198.5897827,52924300
09-09-2020,207.6000061,214.8399963,206.6999969,211.2899933,207.0464325,45679000
10-09-2020,213.3999939,214.7400055,204.1100006,205.3699951,201.2453156,35461500
11-09-2020,207.1999969,208.6300049,201.2400055,204.0299988,199.9322357,33620100
